source_path,repo_path,size_bytes,type,sha256,include_exclude,reason,sanitize_status
<PROJECT_ROOT>/boatrace/research/gate0_unresolved_reduction_v1/unresolved_blocker_patch_proposal_v1.csv,boatrace/research/gate0_unresolved_reduction_v1/unresolved_blocker_patch_proposal_v1.csv,2344,csv,49e1fd014f3f3c050813034317e109fca846a22bd6a15d73b3af550b9c2144a9,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_rebuild_runbook_v1.md,boatrace/research/gate1_rebuild_runbook_v1.md,3089,md,020e9d4f8eab2641b8e33b643a9401876a2e49314c4c38d2af24f4232590ccb2,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_transition_v1/completion_declaration_v1.json,boatrace/research/gate1_transition_v1/completion_declaration_v1.json,2541,json,52f2426caa6955496bada0001860ad8dacf8cbda146ed1b9bcbef93977b589c5,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_transition_v1/completion_declaration_v1.md,boatrace/research/gate1_transition_v1/completion_declaration_v1.md,685,md,5a8ebf1d011e0725ce573c13f547da0ed9d56aee16ea464f54035961801dcd8c,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_transition_v1/gate1a_manifest_v1.json,boatrace/research/gate1_transition_v1/gate1a_manifest_v1.json,135664,json,c1d9a9c8fd25497df81fe4e11eef99361feddc582c4744955532245d2fa190e2,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_transition_v1/gate1a_manifest_v1.sha256,boatrace/research/gate1_transition_v1/gate1a_manifest_v1.sha256,90,sha256,6b4ab97812dd7bd18a814b68cff41a198dc7d07b5fbaff5cc997c09bb52047f4,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_transition_v1/gate1a_report_v1.md,boatrace/research/gate1_transition_v1/gate1a_report_v1.md,1011,md,299706c9537ac46be8c62f76e628e98e308e5ddb310709c1881bbd842486e8a9,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_transition_v1/gate1a_validation_v1.json,boatrace/research/gate1_transition_v1/gate1a_validation_v1.json,880,json,ec363d53c99f86bb31f835ba42a33093fdbffd788e09640af76513af39c48c46,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_transition_v1/gate1b/date_distribution_profile_v1.csv,boatrace/research/gate1_transition_v1/gate1b/date_distribution_profile_v1.csv,155655,csv,aa4e4fef9960c63619eee089380ee26b41559372857dee38300e44899e97c495,include,public sanitized foundation,sanitized
<PROJECT_ROOT>/boatrace/research/gate1_transition_v1/gate1b/distribution_anomalies_v1.csv,boatrace/research/gate1_transition_v1/gate1b/distribution_anomalies_v1.csv,27,csv,615a185556a54e541a3897edb369c8b660bc1388fd447eb75b9d078aabacaff1,include,public sanitized foundation,sanitized
