race_key,v0_1_main_evaluation_eligible,final_candidate_present,final_strict_complete_member,final_prediction_feature_eligible,final_base_role,migration_status,reason_codes
20230924_07_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230924_12_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230924_19_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230924_21_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230924_22_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230925_03_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230925_07_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230925_12_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230925_14_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230925_15_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230925_23_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230925_23_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230926_03_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230926_04_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230926_11_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230926_15_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230926_18_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230926_23_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230926_23_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230926_24_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230927_03_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230927_03_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230927_07_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230927_24_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230928_03_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230928_03_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230928_13_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230928_13_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230928_14_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230928_20_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230928_21_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230929_01_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230929_02_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230929_03_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230929_03_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230929_20_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230929_20_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230929_21_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230929_24_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_01_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_01_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_02_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_12_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_12_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_13_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_13_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_14_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_14_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_15_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_15_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_20_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_21_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_22_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20230930_23_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_08_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_12_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_12_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_13_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_13_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_18_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_21_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_22_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_22_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231001_22_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231002_11_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231002_12_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231002_16_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231002_18_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231002_21_04,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231002_21_09,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231002_22_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_07_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_07_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_08_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_11_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_13_01,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_13_03,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_16_10,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_20_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_20_12,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_21_07,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_22_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231003_22_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_05_06,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_05_11,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_08_08,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_11_05,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
20231004_18_02,True,True,False,True,auxiliary_pretraining_candidate,remains_non_strict_U2,
