status,eligible_for_model_training,purpose,hypothesis_id,json_row_present,csv_row_present,json_csv_match,formal_registry_id_collision,formal_registry_sha256_before,status_valid,eligible_for_model_training_valid,primary_metric_contract_valid,local_reconciliation_status
provisional,false,hypothesis_addendum_sidecar_review_only,H099,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H100,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H101,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H102,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H103,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H104,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H105,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H106,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H107,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H108,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
provisional,false,hypothesis_addendum_sidecar_review_only,H109,true,true,true,false,76b8573b8ee4bce69b23c0dcf789d80894a26cbc21d201ac96f6e37911f2fe83,true,true,true,matched
