fold_id,family_id,bin_index,edge,fit_role,transform_roles,missing_bin
screening_fold_4,FF02,0,,train,selection|calibration|evaluation,True
screening_fold_4,FF02,1,38.453,train,selection|calibration|evaluation,False
screening_fold_4,FF02,2,42.453,train,selection|calibration|evaluation,False
screening_fold_4,FF02,3,45.25783333333333,train,selection|calibration|evaluation,False
screening_fold_4,FF02,4,47.574999999999996,train,selection|calibration|evaluation,False
screening_fold_4,FF02,5,49.719166666666666,train,selection|calibration|evaluation,False
screening_fold_4,FF02,6,51.876666666666665,train,selection|calibration|evaluation,False
screening_fold_4,FF02,7,54.26166666666667,train,selection|calibration|evaluation,False
screening_fold_4,FF02,8,57.35999999999999,train,selection|calibration|evaluation,False
screening_fold_4,FF02,9,62.760333333333364,train,selection|calibration|evaluation,False
screening_fold_4,FF03,0,,train,selection|calibration|evaluation,True
screening_fold_4,FF03,1,43.593333333333334,train,selection|calibration|evaluation,False
screening_fold_4,FF03,2,46.66133333333333,train,selection|calibration|evaluation,False
screening_fold_4,FF03,3,48.26950000000001,train,selection|calibration|evaluation,False
screening_fold_4,FF03,4,49.473333333333336,train,selection|calibration|evaluation,False
screening_fold_4,FF03,5,50.498333333333335,train,selection|calibration|evaluation,False
screening_fold_4,FF03,6,51.467333333333336,train,selection|calibration|evaluation,False
screening_fold_4,FF03,7,52.461666666666666,train,selection|calibration|evaluation,False
screening_fold_4,FF03,8,53.583333333333336,train,selection|calibration|evaluation,False
screening_fold_4,FF03,9,55.22333333333333,train,selection|calibration|evaluation,False
screening_fold_4,FF04,0,,train,selection|calibration|evaluation,True
screening_fold_4,FF04,1,6.691666666666666,train,selection|calibration|evaluation,False
screening_fold_4,FF04,2,6.723333333333334,train,selection|calibration|evaluation,False
screening_fold_4,FF04,3,6.75,train,selection|calibration|evaluation,False
screening_fold_4,FF04,4,6.7749999999999995,train,selection|calibration|evaluation,False
screening_fold_4,FF04,5,6.8,train,selection|calibration|evaluation,False
screening_fold_4,FF04,6,6.826666666666667,train,selection|calibration|evaluation,False
screening_fold_4,FF04,7,6.856666666666668,train,selection|calibration|evaluation,False
screening_fold_4,FF04,8,6.8950000000000005,train,selection|calibration|evaluation,False
screening_fold_4,FF04,9,6.948333333333333,train,selection|calibration|evaluation,False
screening_fold_4,FF05,0,,train,selection|calibration|evaluation,True
screening_fold_4,FF05,1,1.0,train,selection|calibration|evaluation,False
screening_fold_4,FF05,2,2.0,train,selection|calibration|evaluation,False
screening_fold_4,FF05,3,3.0,train,selection|calibration|evaluation,False
screening_fold_4,FF05,4,4.0,train,selection|calibration|evaluation,False
screening_fold_4,FF05,5,5.0,train,selection|calibration|evaluation,False
screening_fold_4,FF06,0,,train,selection|calibration|evaluation,True
screening_fold_4,FF06,1,0.36577563113169165,train,selection|calibration|evaluation,False
screening_fold_4,FF06,2,0.4112519336798936,train,selection|calibration|evaluation,False
screening_fold_4,FF06,3,0.44268208309700097,train,selection|calibration|evaluation,False
screening_fold_4,FF06,4,0.46984330577472044,train,selection|calibration|evaluation,False
screening_fold_4,FF06,5,0.49523551241508534,train,selection|calibration|evaluation,False
screening_fold_4,FF06,6,0.5219680695334603,train,selection|calibration|evaluation,False
screening_fold_4,FF06,7,0.5507676480586878,train,selection|calibration|evaluation,False
screening_fold_4,FF06,8,0.5870473353044828,train,selection|calibration|evaluation,False
screening_fold_4,FF06,9,0.6381417111952292,train,selection|calibration|evaluation,False
screening_fold_4,FF07,0,,train,selection|calibration|evaluation,True
screening_fold_4,FF07,1,0.0,train,selection|calibration|evaluation,False
screening_fold_4,FF08,0,,train,selection|calibration|evaluation,True
screening_fold_4,FF08,1,1.0,train,selection|calibration|evaluation,False
