family_id,family_name,fold_id,bin_index,race_count,pooled_b3_calibrated_ll,winner_stage_ll,second_stage_ll,third_stage_ll,rank_mean,Hit@1,Hit@5,catastrophic_rate,abnormal_tail_rate,B3_B2_delta,support_gate
FF04,exhibition_current_state,screening_fold_2,7,1268,4.113448661361329,1.3126918520183501,1.4450679575762888,1.3556888517666899,25.145110410094638,0.0804416403785489,0.27129337539432175,0.0031545741324921135,0.0,-0.03292867506939196,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,8,1387,4.08341474496387,1.2724679670409929,1.451785844544197,1.3591609333786796,24.312184571016584,0.0821917808219178,0.2761355443403028,0.006488824801730353,0.0,-0.022584271559645146,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,9,1754,4.055625376144491,1.2627546364478637,1.4504570390006577,1.3424137006959693,23.586659064994297,0.07810718358038768,0.28848346636259975,0.00855188141391106,0.0,-0.009165167293831855,eligible_support>=250
FF04,exhibition_current_state,screening_fold_2,10,1455,4.089979376318621,1.3169786938951358,1.4474690261251004,1.3255316562983848,24.562886597938146,0.07766323024054983,0.2797250859106529,0.004123711340206186,0.0,-0.01786655560716775,eligible_support>=250
FF04,exhibition_current_state,screening_fold_3,0,0,,,,,,,,,,,eligible_support>=250
FF04,exhibition_current_state,screening_fold_3,1,423,4.226870381084855,1.4358291621391162,1.4697453570272097,1.3212958619185289,27.53664302600473,0.07565011820330969,0.2553191489361702,0.002364066193853428,0.0,-0.011152232428852275,eligible_support>=250
FF04,exhibition_current_state,screening_fold_3,2,778,4.231557651920778,1.369033009709983,1.50198132879643,1.3605433134143654,28.25706940874036,0.055269922879177376,0.23393316195372751,0.006426735218508998,0.0,-0.03015379165028844,eligible_support>=250
FF04,exhibition_current_state,screening_fold_3,3,803,4.313502646583439,1.420559011545881,1.5334758579526087,1.359467777084949,29.65628891656289,0.062266500622665005,0.21668742216687423,0.009962640099626401,0.0,-0.010809701802062213,eligible_support>=250
FF04,exhibition_current_state,screening_fold_3,4,944,4.21328014556797,1.3607075267525777,1.4960425530134736,1.356530065801919,27.97563559322034,0.0646186440677966,0.2489406779661017,0.009533898305084746,0.0,-0.023597645154316144,eligible_support>=250
FF04,exhibition_current_state,screening_fold_3,5,1117,4.219943254784972,1.369092084685892,1.4946696037071978,1.3561815663918824,27.747538048343777,0.06087735004476276,0.23724261414503134,0.008057296329453895,0.0,-0.03200711843388875,eligible_support>=250
FF04,exhibition_current_state,screening_fold_3,6,1281,4.1870982107974966,1.3493922465745567,1.4872198900690852,1.350486074153855,26.798594847775174,0.06791569086651054,0.2568306010928962,0.00858704137392662,0.0,-0.01679788554706174,eligible_support>=250
